id_seccion,id_curso,num_alumnos
IA_Aplicada_A,IA_Aplicada,33
IA_Aplicada_B,IA_Aplicada,36
Calculo_II_A,Calculo_II,40
Sist_Organizacionales_A,Sist_Organizacionales,27
Sist_Organizacionales_B,Sist_Organizacionales,35
Fisica_Sistemas_A,Fisica_Sistemas,27
Estr_Discretas_A,Estr_Discretas,36
Intro_Programacion_A,Intro_Programacion,36
Estadistica_Prob_A,Estadistica_Prob,32
Estadistica_Prob_B,Estadistica_Prob,31
Calculo_III_A,Calculo_III,35
Mod_Integracion_A,Mod_Integracion,27
Mod_Integracion_B,Mod_Integracion,27
Costeo_Operaciones_A,Costeo_Operaciones,38
Costeo_Operaciones_B,Costeo_Operaciones,25
POO_A,POO,35
Arq_Computadoras_A,Arq_Computadoras,38
Arq_Computadoras_B,Arq_Computadoras,28
Estadistica_Aplicada_A,Estadistica_Aplicada,39
IO_I_A,IO_I,39
IO_I_B,IO_I,29
Sist_Operativos_A,Sist_Operativos,31
Sist_Operativos_B,Sist_Operativos,28
Competencias_Gerenciales_A,Competencias_Gerenciales,28
Competencias_Gerenciales_B,Competencias_Gerenciales,40
ED_I_A,ED_I,29
ED_I_B,ED_I,40
Mod_BD_A,Mod_BD,27
Mod_BD_B,Mod_BD,36
Ing_Procesos_Negocio_A,Ing_Procesos_Negocio,25
Redes_A,Redes,25
Redes_B,Redes,38
Simulacion_A,Simulacion,32
Simulacion_B,Simulacion,30
ED_II_A,ED_II,29
Prog_Web_A,Prog_Web,37
Prog_Web_B,Prog_Web,32
Gestion_Financiera_A,Gestion_Financiera,26
Gestion_Financiera_B,Gestion_Financiera,26
Sist_Intel_Empresarial_A,Sist_Intel_Empresarial,32
Gestion_Operaciones_A,Gestion_Operaciones,38
Gestion_Operaciones_B,Gestion_Operaciones,39
Ing_Software_I_A,Ing_Software_I,37
Ing_Software_I_B,Ing_Software_I,40
Machine_Learning_A,Machine_Learning,37
Ciberseguridad_A,Ciberseguridad,36
Paradigmas_Prog_A,Paradigmas_Prog,25
IoT_A,IoT,39
Gestion_BD_A,Gestion_BD,34
Ing_Conocimiento_A,Ing_Conocimiento,36
Ing_Conocimiento_B,Ing_Conocimiento,40
Sist_Distribuidos_A,Sist_Distribuidos,34
Analitica_Negocios_A,Analitica_Negocios,38
Cloud_A,Cloud,28
Innovacion_Digital_A,Innovacion_Digital,25
Proy_Videojuegos_A,Proy_Videojuegos,29
HCI_A,HCI,29
Arq_TI_A,Arq_TI,34
DevOps_A,DevOps,25
DevOps_B,DevOps,30
Arq_Software_A,Arq_Software,32
Analisis_Algoritmos_A,Analisis_Algoritmos,25
Analisis_Algoritmos_B,Analisis_Algoritmos,29
Redes_Avanzadas_A,Redes_Avanzadas,37
Redes_Avanzadas_B,Redes_Avanzadas,38
Prog_Movil_A,Prog_Movil,29
Prog_Movil_B,Prog_Movil,32
Seg_Salud_Ocup_A,Seg_Salud_Ocup,34
