,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,Calculo_II (Calculo_II_C) [salon_17],Calculo_II (Calculo_II_B) [salon_8],---,---,Estr_Discretas (Estr_Discretas_A) [salon_7],Calculo_II (Calculo_II_A) [salon_11]
8:00 - 9:00,Calculo_II (Calculo_II_C) [salon_17],Calculo_II (Calculo_II_B) [salon_8],---,---,Estr_Discretas (Estr_Discretas_A) [salon_7],Calculo_II (Calculo_II_A) [salon_11]
9:00 - 10:00,Calculo_II (Calculo_II_C) [salon_17],---,---,---,---,Calculo_II (Calculo_II_A) [salon_11]
10:00 - 11:00,Calculo_II (Calculo_II_A) [salon_11],---,---,---,---,Calculo_II (Calculo_II_C) [salon_3]
11:00 - 12:00,Calculo_II (Calculo_II_A) [salon_11],---,---,---,---,Calculo_II (Calculo_II_C) [salon_3]
12:00 - 13:00,---,---,---,---,---,Calculo_II (Calculo_II_C) [salon_3]
13:00 - 14:00,---,---,---,---,---,Calculo_II (Calculo_II_B) [salon_8]
14:00 - 15:00,---,---,Calculo_II (Calculo_II_A) [salon_19],---,---,Calculo_II (Calculo_II_B) [salon_8]
15:00 - 16:00,---,---,Calculo_II (Calculo_II_A) [salon_19],Calculo_II (Calculo_II_B) [r_virtual],---,---
16:00 - 17:00,---,---,Calculo_II (Calculo_II_A) [salon_19],Calculo_II (Calculo_II_B) [r_virtual],---,---
17:00 - 18:00,---,---,---,Calculo_II (Calculo_II_B) [r_virtual],---,---
18:00 - 19:00,---,---,Estr_Discretas (Estr_Discretas_A) [salon_12],---,---,---
19:00 - 20:00,---,---,Estr_Discretas (Estr_Discretas_A) [salon_12],---,---,---
20:00 - 21:00,---,---,Estr_Discretas (Estr_Discretas_A) [salon_12],---,---,---
