,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,IA_Aplicada (IA_Aplicada_A) [salon_3],---,---,---,---,---
8:00 - 9:00,IA_Aplicada (IA_Aplicada_A) [salon_3],---,---,---,---,Intro_Programacion (Intro_Programacion_A) [salon_11]
9:00 - 10:00,---,---,---,---,---,Intro_Programacion (Intro_Programacion_A) [salon_11]
10:00 - 11:00,---,---,IA_Aplicada (IA_Aplicada_B) [salon_6],---,---,Intro_Programacion (Intro_Programacion_A) [salon_11]
11:00 - 12:00,---,---,IA_Aplicada (IA_Aplicada_B) [salon_6],---,---,---
12:00 - 13:00,---,---,---,---,---,---
13:00 - 14:00,---,---,---,---,---,---
14:00 - 15:00,---,---,---,---,---,---
15:00 - 16:00,---,---,---,---,---,---
16:00 - 17:00,IA_Aplicada (IA_Aplicada_B) [salon_6],---,IA_Aplicada (IA_Aplicada_A) [salon_3],---,---,---
17:00 - 18:00,IA_Aplicada (IA_Aplicada_B) [salon_6],---,IA_Aplicada (IA_Aplicada_A) [salon_3],---,IA_Aplicada (IA_Aplicada_A) [salon_3],---
18:00 - 19:00,IA_Aplicada (IA_Aplicada_B) [salon_6],---,IA_Aplicada (IA_Aplicada_A) [salon_3],---,IA_Aplicada (IA_Aplicada_A) [salon_3],---
19:00 - 20:00,Intro_Programacion (Intro_Programacion_A) [salon_11],---,Intro_Programacion (Intro_Programacion_A) [salon_11],---,---,---
20:00 - 21:00,Intro_Programacion (Intro_Programacion_A) [salon_11],---,Intro_Programacion (Intro_Programacion_A) [salon_11],---,IA_Aplicada (IA_Aplicada_B) [salon_6],---
21:00 - 22:00,Intro_Programacion (Intro_Programacion_A) [salon_11],---,Intro_Programacion (Intro_Programacion_A) [salon_11],---,IA_Aplicada (IA_Aplicada_B) [salon_6],---
