,lunes,martes,miercoles,jueves,viernes,sabado
7:00 - 8:00,Sist_Organizacionales (Sist_Organizacionales_A) [salon_3],Intro_Programacion (Intro_Programacion_A) [salon_1],Sist_Organizacionales (Sist_Organizacionales_A) [salon_3],---,Calculo_II (Calculo_II_A) [salon_6],Sist_Organizacionales (Sist_Organizacionales_A) [salon_3]
8:00 - 9:00,IA_Aplicada (IA_Aplicada_B) [salon_1] | Sist_Organizacionales (Sist_Organizacionales_A) [salon_3],Intro_Programacion (Intro_Programacion_A) [salon_1],Sist_Organizacionales (Sist_Organizacionales_A) [salon_3],---,Calculo_II (Calculo_II_A) [salon_6],Sist_Organizacionales (Sist_Organizacionales_A) [salon_3] | Intro_Programacion (Intro_Programacion_A) [salon_1]
9:00 - 10:00,Fisica_Sistemas (Fisica_Sistemas_A) [salon_6] | IA_Aplicada (IA_Aplicada_B) [salon_1] | Sist_Organizacionales (Sist_Organizacionales_A) [salon_3],---,Sist_Organizacionales (Sist_Organizacionales_A) [salon_3],---,---,Intro_Programacion (Intro_Programacion_A) [salon_1]
10:00 - 11:00,Fisica_Sistemas (Fisica_Sistemas_A) [salon_6],---,---,---,Fisica_Sistemas (Fisica_Sistemas_A) [salon_6],Intro_Programacion (Intro_Programacion_A) [salon_1]
11:00 - 12:00,Fisica_Sistemas (Fisica_Sistemas_A) [salon_6],---,---,---,Fisica_Sistemas (Fisica_Sistemas_A) [salon_6],IA_Aplicada (IA_Aplicada_B) [salon_1]
12:00 - 13:00,---,---,---,---,---,IA_Aplicada (IA_Aplicada_B) [salon_1]
13:00 - 14:00,---,---,---,---,---,IA_Aplicada (IA_Aplicada_B) [salon_1]
14:00 - 15:00,---,---,---,---,---,---
15:00 - 16:00,---,---,---,---,---,---
16:00 - 17:00,---,---,Calculo_II (Calculo_II_A) [salon_6],---,---,---
17:00 - 18:00,Calculo_II (Calculo_II_A) [salon_6],Estr_Discretas (Estr_Discretas_A) [salon_19],Calculo_II (Calculo_II_A) [salon_6],Intro_Programacion (Intro_Programacion_A) [r_virtual],Estr_Discretas (Estr_Discretas_A) [salon_19],---
18:00 - 19:00,Calculo_II (Calculo_II_A) [salon_6],Estr_Discretas (Estr_Discretas_A) [salon_19],---,Intro_Programacion (Intro_Programacion_A) [r_virtual],Estr_Discretas (Estr_Discretas_A) [salon_19],---
19:00 - 20:00,Calculo_II (Calculo_II_A) [salon_6],---,---,Intro_Programacion (Intro_Programacion_A) [r_virtual],Estr_Discretas (Estr_Discretas_A) [salon_19],---
20:00 - 21:00,---,---,Fisica_Sistemas (Fisica_Sistemas_A) [salon_6],IA_Aplicada (IA_Aplicada_B) [r_virtual],---,---
21:00 - 22:00,---,---,Fisica_Sistemas (Fisica_Sistemas_A) [salon_6],IA_Aplicada (IA_Aplicada_B) [r_virtual],---,---
