corrida,seed,Z,HCV,TTF,CPU_time,fitness_evals,tasa_factib_inicial,factible,hcv_prof_collision,hcv_prof_carga,hcv_salon_estabilidad,hcv_salon_collision,hcv_r9,soft_lunch,soft_spacing
1,42,10,0,0.1615009307861328,5.265348434448242,25050,0.0,True,0,0,0,0,0,0,1
2,43,0,0,0.15097475051879883,5.3356733322143555,25050,0.0,True,0,0,0,0,0,0,0
3,44,0,0,0.1127781867980957,5.485103607177734,25050,0.0,True,0,0,0,0,0,0,0
4,45,0,0,0.1888563632965088,5.375077962875366,25050,0.0,True,0,0,0,0,0,0,0
5,46,10,0,0.1891312599182129,5.077361345291138,25050,0.0,True,0,0,0,0,0,0,1
6,47,10,0,0.17756414413452148,5.063891649246216,25050,0.0,True,0,0,0,0,0,0,1
7,48,0,0,0.10664844512939453,5.098870038986206,25050,0.0,True,0,0,0,0,0,0,0
8,49,0,0,0.21010518074035645,5.080004453659058,25050,0.0,True,0,0,0,0,0,0,0
9,50,0,0,0.4079775810241699,5.165133714675903,25050,0.0,True,0,0,0,0,0,0,0
10,51,0,0,0.15418481826782227,5.201662540435791,25050,0.0,True,0,0,0,0,0,0,0
