corrida,seed,Z,HCV,TTF,CPU_time,evaluaciones_aptitud,tasa_factib_inicial,factible,hcv_colision_profesor,hcv_carga_maxima_profesor,hcv_estabilidad_salones,hcv_colision_salones_fisicos,hcv_conflicto_curricular,penalizacion_almuerzo,penalizacion_espaciado
1,42,1176,0,670.21875,1307.515625,5550,0.0,True,0,0,0,0,0,36,114
2,43,928,0,426.09375,1422.515625,7200,0.0,True,0,0,0,0,0,38,89
3,44,1094,0,732.546875,1496.5,6600,0.0,True,0,0,0,0,0,34,106
4,45,1093,0,762.625,2021.421875,8550,0.0,True,0,0,0,0,0,43,105
5,46,1053,0,741.703125,1545.75,6450,0.0,True,0,0,0,0,0,33,102
6,47,1025,0,820.578125,1488.484375,6300,0.0,True,0,0,0,0,0,35,99
7,48,1095,0,485.015625,1155.390625,4650,0.0,True,0,0,0,0,0,35,106
8,49,963,0,1188.234375,2182.0625,10200,0.0,True,0,0,0,0,0,43,92
9,50,1093,0,925.15625,1612.265625,6150,0.0,True,0,0,0,0,0,43,105
10,51,941,0,403.828125,2133.671875,8700,0.0,True,0,0,0,0,0,41,90
11,52,1051,0,1302.90625,2332.71875,9600,0.0,True,0,0,0,0,0,41,101
12,53,967,0,1177.078125,1823.640625,7650,0.0,True,0,0,0,0,0,37,93
13,54,1202,0,999.828125,1674.828125,6750,0.0,True,0,0,0,0,0,52,115
14,55,1052,0,594.984375,2621.828125,11250,0.0,True,0,0,0,0,0,42,101
15,56,1037,0,792.921875,1852.015625,7800,0.0,True,0,0,0,0,0,37,100
16,57,1100,0,601.890625,1351.328125,5700,0.0,True,0,0,0,0,0,40,106
17,58,1074,0,593.65625,1834.390625,8400,0.0,True,0,0,0,0,0,44,103
18,59,934,0,691.71875,3480.28125,16650,0.0,True,0,0,0,0,0,34,90
19,60,1093,0,838.953125,1567.5625,6750,0.0,True,0,0,0,0,0,33,106
20,61,1049,0,430.328125,1184.640625,5100,0.0,True,0,0,0,0,0,39,101
21,62,1029,0,637.09375,1784.984375,7800,0.0,True,0,0,0,0,0,39,99
22,63,1015,0,944.484375,2584.25,11400,0.0,True,0,0,0,0,0,35,98
23,64,1044,0,838.890625,1958.671875,8700,0.0,True,0,0,0,0,0,44,100
24,65,1071,0,828.421875,2559.65625,11400,0.0,True,0,0,0,0,0,31,104
25,66,1005,0,868.5625,2001.0625,8100,0.0,True,0,0,0,0,0,45,96
26,67,1123,0,580.546875,1492.3125,5850,0.0,True,0,0,0,0,0,43,108
27,68,1051,0,733.703125,1363.5,5250,0.0,True,0,0,0,0,0,41,101
28,69,1075,0,481.9375,1668.75,7350,0.0,True,0,0,0,0,0,35,104
29,70,961,0,840.9375,1805.609375,8250,0.0,True,0,0,0,0,0,41,92
30,71,1108,0,630.078125,1891.796875,8700,0.0,True,0,0,0,0,0,38,107
