corrida,seed,Z,HCV,TTF,CPU_time,evaluaciones_aptitud,tasa_factib_inicial,factible,hcv_colision_profesor,hcv_carga_maxima_profesor,hcv_estabilidad_salones,hcv_colision_salones_fisicos,hcv_conflicto_curricular,penalizacion_almuerzo,penalizacion_espaciado
1,42,530,0,24.359375,101.390625,3040,0.0,True,0,0,0,0,0,20,51
2,43,560,0,16.09375,104.78125,3120,0.0,True,0,0,0,0,0,20,54
3,44,531,0,24.5,130.46875,4080,0.0,True,0,0,0,0,0,21,51
4,45,561,0,25.40625,84.34375,2480,0.0,True,0,0,0,0,0,21,54
5,46,557,0,20.234375,88.375,2640,0.0,True,0,0,0,0,0,27,53
6,47,500,0,22.265625,142.9375,4320,0.0,True,0,0,0,0,0,20,48
7,48,489,0,24.15625,180.015625,5360,0.0,True,0,0,0,0,0,19,47
8,49,557,0,24.03125,79.9375,2320,0.0,True,0,0,0,0,0,17,54
9,50,583,0,21.59375,78.046875,2160,0.0,True,0,0,0,0,0,23,56
10,51,566,0,27.3125,80.453125,2240,0.0,True,0,0,0,0,0,26,54
11,52,529,0,21.5625,120.671875,3520,0.0,True,0,0,0,0,0,19,51
12,53,546,0,35.046875,86.0,2400,0.0,True,0,0,0,0,0,26,52
13,54,556,0,19.453125,86.234375,2560,0.0,True,0,0,0,0,0,26,53
14,55,546,0,16.734375,142.46875,4320,0.0,True,0,0,0,0,0,16,53
15,56,560,0,28.203125,85.25,2480,0.0,True,0,0,0,0,0,20,54
16,57,523,0,17.75,136.046875,4160,0.0,True,0,0,0,0,0,23,50
17,58,543,0,16.390625,172.21875,5360,0.0,True,0,0,0,0,0,23,52
18,59,553,0,24.671875,150.328125,4560,0.0,True,0,0,0,0,0,23,53
19,60,520,0,26.546875,197.671875,6160,0.0,True,0,0,0,0,0,20,50
20,61,532,0,27.578125,113.265625,3360,0.0,True,0,0,0,0,0,22,51
21,62,528,0,35.0625,123.09375,3520,0.0,True,0,0,0,0,0,18,51
22,63,457,0,17.46875,114.21875,3440,0.0,True,0,0,0,0,0,27,43
23,64,582,0,29.703125,96.71875,3040,0.0,True,0,0,0,0,0,22,56
24,65,573,0,33.09375,106.46875,3120,0.0,True,0,0,0,0,0,23,55
25,66,579,0,20.328125,119.734375,3600,0.0,True,0,0,0,0,0,19,56
26,67,582,0,41.640625,104.828125,3040,0.0,True,0,0,0,0,0,22,56
27,68,521,0,35.046875,159.703125,4960,0.0,True,0,0,0,0,0,21,50
28,69,520,0,34.875,98.921875,2960,0.0,True,0,0,0,0,0,20,50
29,70,501,0,51.890625,148.609375,4560,0.0,True,0,0,0,0,0,21,48
30,71,529,0,28.265625,141.71875,4400,0.0,True,0,0,0,0,0,19,51
