corrida,seed,Z,HCV,TTF,CPU_time,evaluaciones_aptitud,tasa_factib_inicial,factible,hcv_colision_profesor,hcv_carga_maxima_profesor,hcv_estabilidad_salones,hcv_colision_salones_fisicos,hcv_conflicto_curricular,penalizacion_almuerzo,penalizacion_espaciado
1,42,1,0,0.140625,1.921875,1650,0.0,True,0,0,0,0,0,1,0
2,43,0,0,0.15625,2.390625,1800,0.0,True,0,0,0,0,0,0,0
3,44,0,0,0.140625,2.484375,1950,0.0,True,0,0,0,0,0,0,0
4,45,0,0,0.15625,3.171875,2450,0.0,True,0,0,0,0,0,0,0
5,46,1,0,0.140625,2.3125,1800,0.0,True,0,0,0,0,0,1,0
6,47,0,0,0.140625,2.765625,2300,0.0,True,0,0,0,0,0,0,0
7,48,0,0,0.140625,2.96875,2250,0.0,True,0,0,0,0,0,0,0
8,49,0,0,0.171875,2.359375,1700,0.0,True,0,0,0,0,0,0,0
9,50,0,0,0.171875,2.828125,2350,0.0,True,0,0,0,0,0,0,0
10,51,0,0,0.171875,2.671875,2100,0.0,True,0,0,0,0,0,0,0
11,52,0,0,0.15625,2.6875,2050,0.0,True,0,0,0,0,0,0,0
12,53,0,0,0.171875,2.15625,1850,0.0,True,0,0,0,0,0,0,0
13,54,0,0,0.125,2.140625,1750,0.0,True,0,0,0,0,0,0,0
14,55,0,0,0.140625,2.34375,2000,0.0,True,0,0,0,0,0,0,0
15,56,0,0,0.140625,2.96875,2400,0.0,True,0,0,0,0,0,0,0
16,57,0,0,0.140625,2.546875,1950,0.0,True,0,0,0,0,0,0,0
17,58,1,0,0.15625,2.609375,2000,0.0,True,0,0,0,0,0,1,0
18,59,0,0,0.15625,2.65625,2100,0.0,True,0,0,0,0,0,0,0
19,60,0,0,0.15625,2.515625,1900,0.0,True,0,0,0,0,0,0,0
20,61,0,0,0.140625,2.34375,1800,0.0,True,0,0,0,0,0,0,0
21,62,0,0,0.140625,2.390625,2100,0.0,True,0,0,0,0,0,0,0
22,63,0,0,0.125,2.421875,2100,0.0,True,0,0,0,0,0,0,0
23,64,0,0,0.15625,2.484375,2050,0.0,True,0,0,0,0,0,0,0
24,65,0,0,0.140625,2.1875,2000,0.0,True,0,0,0,0,0,0,0
25,66,0,0,0.15625,1.953125,1550,0.0,True,0,0,0,0,0,0,0
26,67,0,0,0.140625,2.125,1900,0.0,True,0,0,0,0,0,0,0
27,68,0,0,0.140625,2.5,2050,0.0,True,0,0,0,0,0,0,0
28,69,0,0,0.140625,2.53125,1950,0.0,True,0,0,0,0,0,0,0
29,70,0,0,0.140625,2.53125,2050,0.0,True,0,0,0,0,0,0,0
30,71,0,0,0.15625,2.671875,2050,0.0,True,0,0,0,0,0,0,0
